name,address,latitude,longitude,city,PID
Banque Zitouna - Avenue de la Liberté,"Avenue de la Liberté, Tunis, 1002",36.807893,10.180045,Tunis,32873
Banque Zitouna Agence Avenue de la Liberté,"شارع الحرية, Tunis, 1002",36.80795,10.179957,Tunis,32906
Banque Zitouna Agence Habib Bourguiba,"نهج العبداني, Tunis, 1002",36.811856,10.174985,Tunis,68576
Banque Zitouna Agence Beb Jazira,"نهج الجزيرة, Tunis, 1008",36.79836,10.175516,Tunis,32877
Banque Zitouna Agence Montplaisir,"نهج آرديلو, تونس, 1002",36.818321,10.189345,Tunis,38182
Banque Zitouna Agence Bab Bnet,"Avenue Hédi Essaidi, Tunis",36.811133,10.165593,Tunis,32850
Banque Zitouna,"Rue du Japon, Tunis, 1002",36.818189,10.189182,Tunis,32908
Banque Zitouna,"Boulevard Bab Bnet, Tunis",36.803403,10.16539,Tunis,40473
Banque Zitouna - Agence Bab Jazira,"19 Rue El Jazira, Tunis, 1008",36.797885,10.175428,Tunis,32892
Banque Zitouna Agence Mohamed V,"Rue El Kawakibi, Tunis, 1002",36.820481,10.181288,Tunis,52597
Banque Zitouna,"Rue Ibn Khaldoun, Tunis, 1073",36.795831,10.182845,Tunis,32886
Banque Zitouna Agence Ali Dargouth,"نهج 18جانفي 1952, Tunis, 1073",36.795602,10.183869,Tunis,76559
Banque Zitouna Agence Alain Savary,"Rue Mustapha Sfar, Tunis, 1002",36.825256,10.182319,Tunis,32966
Banque Zitouna - Savary Centre,"Rue Mustapha Sfar, Tunis, 1002",36.825185,10.182425,Tunis,75146
Banque Zitouna Agence Bardo Bouchoucha,"شارع الطيب المهيري, تونس",36.802472,10.148889,Tunis,41087
Banque Zitouna Agence Menzah I,"Avenue Charles Nicolle, Tunis, 1082",36.832457,10.179787,Tunis,41241
Banque Zitouna,"Allée Mohamed V, Tunis, 1002",36.820305,10.181507,Tunis,42131
Banque Zitouna Agence Mutuelle Ville,"نهج فلورنسا, تونس, 1082",36.835232,10.166776,Tunis,59744
Banque Zitouna - Avenue Habib Bourguiba,"Avenue Habib Bourguiba, Tunis",36.811694,10.142868,Tunis,71121
Banque Zitouna - DAB,"Rue Mouaouia Ettamimi, Tunis, 1009",36.775081,10.180693,Tunis,32867
Banque Zitouna,"Rue de Industrie, Tunis, 2035",36.835509,10.202035,Tunis,40057
Banque Zitouna Agence Charguia 2,"نهج الطاقة, تونس, 2035",36.841862,10.206227,Tunis,42653
Banque Zitouna Agence Centre Urbain Nord,"شارع الأرض, تونس",36.847012,10.195665,Tunis,76994
Banque Zitouna - Boulevard de la Terre,"Boulevard de la Terre, Tunis",36.847125,10.195619,Tunis,48649
Banque Zitouna Agence Manar Ii,"شارع محي الدين القليبي, تونس, 2092",36.842675,10.159326,Tunis,32930
Banque Zitouna Agence Ezzouhour,"نهج الميموزا, تونس, 2052",36.794629,10.132696,Tunis,44274
Banque Zitouna - Avenue El Hrairia,"Avenue El Hrairia, Tunis, 2052 (Ezzouhour)",36.794316,10.132554,Tunis,32963
Banque Zitouna Agence Ariana,"شارع الحبيب بورقيبة, أريانة, 2080",36.853329,10.185315,Tunis,32941
Banque Zitouna Agence Lac1,"نهج بحيرة كونستانس, تونس",36.831459,10.230578,Tunis,32896
Banque Zitouna,"Rue El Hmalia, Tunis, 1009",36.774896,10.180297,Tunis,63097
Banque Zitouna Agence Menzah 8,"شارع مصطفى حجيج, أريانة, 2080",36.85701,10.181783,Tunis,86005
Banque Zitouna Agence Ennaser Crystal Palace,"شارع الهادي نويرة, أريانة, 2037",36.855904,10.156069,Tunis,32965
Banque Zitouna Agence Hrairia,"Rue Abdallah Ibn Moaddeb, Tunis, 2052",36.789704,10.115294,Tunis,47979
Banque Zitouna Agence Denden,"شارع الإستقلال, دندان, 2011",36.802692,10.113281,Tunis,32858
Banque Zitouna,"Avenue Habib Bourguiba, Ariana, 2080",36.853428,10.185409,Tunis,32934
Banque Zitouna - Avenue El Hrairia,"Avenue El Hrairia, Tunis, 2052 (Hraïria)",36.789674,10.115184,Tunis,68575
Banque Zitouna,"Avenue Hédi Nouira, Ariana",36.86155,10.164492,Tunis,32967
Zitouna Tamkeen,"11 Rue du Kouweit, Tunis",36.813345,10.133995,Tunis,32944
Banque Zitouna,"Tunis, 2073",36.853723,10.20449,Tunis,71171
Banque Zitouna,"Rue El Ifeda, Ariana, 2080",36.856956,10.181712,Tunis,83665
Banque Zitouna DAB,"Avenue Hédi Nouira, Ariana",36.861782,10.164656,Tunis,32910
Banque Zitouna Agence Ben Arous Zi,"بن عروس, 2013",36.762861,10.228583,Tunis,32844
Banque Zitouna Agence Wardia,"نهج العامرة, تونس, 2053",36.750123,10.198331,Tunis,60706
Banque Zitouna Agence Ennacer,"شارع الهادي نويرة, أريانة",36.863154,10.165661,Tunis,75386
Banque Zitouna Agence Ben Arous,"شارع الحبيب بورقيبة, بن عروس, 2013",36.756642,10.219948,Tunis,44705
Banque Zitouna Agence Mgrine,"نهج أبو القاسم الشابي, مقرين",36.768165,10.239639,Tunis,32948
Banque Zitouna Agence Borj Louzir,"Avenue Abderrahmen Mami, Soukra, 2073",36.865069,10.200291,Tunis,40427
Banque Zitouna Agence Soukra,"Avenue Habib Bourguiba, Soukra, 2073",36.86376,10.214871,Tunis,81265
Banque Zitouna Agence Ettadhamen,"التضامن المنيهلة, 2094",36.842125,10.115806,Tunis,63029
Banque Zitouna - Avenue 18 Janvier 1952,"Rue 4883, Tunis, 1095",36.768385,10.113714,Tunis,32920
Banque Zitouna Agence Jardins D El Menzeh,"شارع الياسمين, التضامن المنيهلة, 2094",36.857388,10.127784,Tunis,47870
Banque Zitouna Agence Mourouj 1,"شارع الشهداء, المروج, 2059",36.738192,10.207322,Tunis,37080
Banque Zitouna,"Manouba, 2010",36.809096,10.091915,Tunis,65164
Banque Zitouna,"Avenue de l'Environnement, Tunis, 2060",36.854393,10.257561,Tunis,32962
Banque Zitouna Agence Aouina,"شارع البيئة, تونس, 2060",36.854568,10.257489,Tunis,60492
Banque Zitouna Agence Sijoumi,"Rue Meknassi, Tunis, 1095",36.745233,10.119356,Tunis,32871
Banque Zitouna,"Avenue de la Bourse, Tunis, 2060",36.848056,10.267991,Tunis,37466
Banque Zitouna Agence Rades,"نهج 8000, رادس, 2040",36.773249,10.273572,Tunis,32848
Banque Zitouna Agence Cité El Ghazela,"Avenue Fathi Zouhaier, Raoued, 2083",36.887757,10.182494,Tunis,83359
Banque Zitouna Agence Yasminet,"Ben Arous, 2096",36.738333,10.241333,Tunis,52024
Banque Zitouna Agence Lac 2,"تونس, 2060 (ضفاف البحيرة 2, حي الطيب المهيري)",36.848988,10.277038,Tunis,65286
Banque Zitouna,"Tunis, 2089",36.840781,10.295642,Tunis,51167
Banque Zitouna Agence Centrale,"تونس, 2089",36.841318,10.295753,Tunis,38922
Banque Zitouna Agence Mourouj 6,"شارع 14 جانفي 2011, المروج, 2074",36.710302,10.213746,Tunis,32922
Banque Zitouna Agence Zi Kheireddine,"تونس, 2060 (المنطقة الصناعية خير الدين, حلق الوادي)",36.828938,10.306532,Tunis,32900
Banque Zitouna Agence Mourouj,"المحمدية-فوشانة, 2074",36.706234,10.210004,Tunis,50275
Banque Zitouna,"Avenue El Habib Bourguiba, Tunis, 2025",36.835483,10.316901,Tunis,32918
Banque Zitouna Agence le Kram,"شارع البارك, تونس, 2025",36.835873,10.31677,Tunis,83093
Banque Zitouna Agence Boumhel,"نهج مالطا, بومهل البساتين",36.728418,10.30626,Tunis,48139
Banque Zitouna Agence Ezzahra,"المحمدية-فوشانة, 1135",36.682835,10.23438,Tunis,32875
Banque Zitouna Agence Mhammdia,"شارع 14 جانفي 2011, المحمدية-فوشانة, 1145",36.676792,10.156648,Tunis,48111
Banque Zitouna Agence la Marsa,"نهج جزر الموريشيوس, تونس, 2078",36.876697,10.321927,Tunis,60673
Banque Zitouna,"Avenue du 14 Janvier 2011, Tunis, 1053",36.879585,10.327668,Tunis,82853
Banque Zitouna Agence la Marsa Sidi Abdelaziz,"شارع الطيب المهيري, تونس, 1057",36.889594,10.321619,Tunis,32942
Banque Zitouna Agence Hammam Lif,"نهج محمد بشروش, حمام الأنف, 2093",36.731065,10.32867,Tunis,74552
Banque Zitouna Agence Sidi Bou Said,"Tunis, 2026",36.866946,10.349994,Tunis,47734
Banque Zitouna Agence Mornag,"شارع المنجي سليم, مرناق, 2090",36.679725,10.288208,Tunis,63245
Banque Zitouna Agence Jedaida,"Djedaïd, 1124",36.83645,9.941088,Tunis,71005
Banque Zitouna Agence Borj Cedria,Hammam Chott,36.704717,10.407293,Tunis,39596
Banque Zitouna Agence Soliman,"Shari' al-Jumhouriyyah, Sulayman, 8020",36.694119,10.49462,Tunis,38430
ParkingTN Devant Tunisia Mall Et Banque Zitouna,"تونس, 2060 (ضفاف البحيرة 2, حي الطيب المهيري)",36.84898,10.277824,Tunis,37079
Banque Zitouna Agence Grombalia,"Shari' al-Jumhouriyyah, Qrumbalyah, 8030",36.599415,10.500123,Tunis,39736
Banque Zitouna Agence Menzel Bouzelfa,"Menzel Bou Zelfa, 8010",36.684004,10.578114,Tunis,38586
Banque Zitouna Agence Beni Khalled,"Shari' 14 Janvi 2011, Bani Khallad, 8021",36.64824,10.589766,Tunis,60539
Banque Zitouna Agence Zaghouane,"شارع 14 جانفي 2011, زغوان, 1100",36.399668,10.145052,Tunis,44023
Banque Zitouna Agence Ras Jebel,"Rue El Moez Lidinellah, Ras El Djebel, 7070",37.213763,10.124819,Tunis,52830
Union des Banques Maghrébines - Immeuble Zitouna Palace,"13 Rue 8368, Tunis, 1002",36.822503,10.193252,Tunis,63157
Banque Zitouna Agence Mjez El Bab,"طبربة, 1144",36.811856,9.609088,Tunis,83729
Banque Zitouna Agence Menzel Bourguiba,"شارع الإستقلال, منزل بورقيبة",37.1546,9.794793,Tunis,32856
Banque Zitouna Agence Mateur,"RN11, ماطر, 7030",37.03649,9.663589,Tunis,32879
ABF - Académie des Banques et Finances - Immeuble Zitouna Palace,"13 Rue 8368, Tunis, 1002",36.822522,10.193603,Tunis,61415
Banque Zitouna Agence Menzel Jmil,"Route Madame Sache, Menzel Djemil, 7080",37.23942,9.913289,Tunis,75284
Banque Zitouna Agence Fahs,"RN3, الفحص",36.376256,9.902885,Tunis,48651
Banque Zitouna Agence Barraket Essahel,"Hammamet, 8056",36.405501,10.566454,Tunis,70806
Banque d'UBCI,"Avenue des Nations Unies, Tunis, 1073",36.7996,10.186271,Tunis,69822
Banque d'UBCI,"Avenue Kheiredine Pacha, Tunis, 1002",36.822853,10.192485,Tunis,32862
Banque Zitouna Agence Bizerte,"بنزرت, 7061",37.269188,9.872576,Tunis,32971
Banque Zitouna,"Rue d'Alger, Bizerte, 7061",37.269236,9.871481,Tunis,32898
Banque Zitouna Agence Hammamet,"Avenue Habib Bourguiba, Hammamet, 8050",36.405344,10.6128,Tunis,37083
Banque Zitouna,"Avenue Hédi Ouali, Hammamet, 8050",36.405393,10.612943,Tunis,32914
Banque Zitouna - Immeuble l'Avenir,"Rue Moncef Bey, Sfax",34.743576,10.76133,Sfax,37077
Banque Zitouna 2 - Sfax Medina,"Avenue Majida Boulila, Sfax, 3089",34.742396,10.753713,Sfax,32890
Banque Zitouna Agence Sfax Pic Ville,"نهج محمد كراي, صفاقس, 3027",34.736542,10.754852,Sfax,38181
Banque Zitouna Agence Sfax Ariana,"RN1, صفاقس",34.754624,10.762374,Sfax,43680
Banque Zitouna Agence Sfax Beb Bhar,"شارع الحبيب بورقيبة, صفاقس",34.730361,10.760934,Sfax,51123
Banque Zitouna,"RN1, Sfax",34.754775,10.7624,Sfax,51089
Banque Zitouna Agence Sfax Poudrire,"نهج جمال الدين الأفغاني, صفاقس",34.753729,10.776046,Sfax,69780
Banque Zitouna Agence Sfax Route Gabes,"شارع البيئة, صفاقس, 3027",34.727694,10.743404,Sfax,32924
Banque Zitouna,"Boulevard de l'Environnement, Sfax, 3027",34.727468,10.743172,Sfax,48204
Banque Zitouna Agence Sfax Route Ain,"طريق العين, صفاقس, 3039",34.749026,10.735471,Sfax,59118
Banque Zitouna - Sfax Medina,"Route de Gremda, Sfax, 3039",34.759869,10.74168,Sfax,38604
Banque Zitouna Agence Sfax Gremda,"طريق قرمدة, صفاقس, 3039",34.760209,10.741679,Sfax,74110
Banque Zitouna Sfax Route Lafrane,"RL923, صفاقس, 3062",34.758936,10.733171,Sfax,48650
Banque Zitouna Agence Sfax Sakeit Eddayer,"ساقية الداير, 3011",34.768061,10.774019,Sfax,38431
Banque Zitouna Agence Sfax Menzel Chaker,"طريق منزل شاكر, صفاقس, 3071",34.752724,10.713851,Sfax,52344
Banque Zitouna Agence Sfax Soukra,"نهج زامبيا, صفاقس, 3064",34.722463,10.717345,Sfax,41016
Banque Zitouna - Sakiet Ezzit,"RL911, Sakiet Ezzit, 3041",34.771116,10.752722,Sfax,70982
Banque Zitouna - Sfax Chihia,"RL911, Sakiet Ezzit, 3041",34.790424,10.744404,Sfax,37085
Banque Zitouna Agence Sfax Chihia,"RL911, ساقية الزيت, 3041",34.79548,10.743202,Sfax,32928
Banque Zitouna Agence Sfax Boulila,"Tina, 3083",34.702488,10.705075,Sfax,32846
Banque Zitouna Agence Sfax Merkez Sahnoun,"صفاقس, 3076",34.792483,10.716193,Sfax,32954
Banque Zitouna Agence Sfax Sakiet Ezzit,"RN1, ساقية الزيت, 3021",34.805444,10.761374,Sfax,62095
Banque Zitouna,Sakiet Eddaier,34.786836,10.778859,Sfax,32938
Banque Zitouna,"RL911, Sakiet Ezzit, 3041",34.795696,10.742959,Sfax,43297
Banque Zitouna,"Sakiet Eddaier, 3054",34.801328,10.783843,Sfax,32964
STB Bank Sfax zitouna,"شارع علي باش حامبة, صفاقس",34.733333,10.766667,Sfax,83762
Banque Zitouna Agence Mahres,"المحرس, 3060",34.521747,10.496653,Sfax,52703
Banque Zitouna Agence Sousse Jawhara,"Avenue du 20 Mars 1956, Sousse, 4051",35.831194,10.62546,Sousse,82380
Banque Zitouna Agence Sousse Sahloul,"Sousse, 4054",35.841353,10.597924,Sousse,36081
Banque Zitouna Agence Sousse Senghor,"Sousse, 4051",35.839547,10.622467,Sousse,68365
Banque Zitouna,"Sousse, 4051",35.839614,10.622529,Sousse,47785
Banque Zitouna Agence Sousse 14 Janvier,"سوسة, 4061",35.809248,10.625377,Sousse,32943
Banque Zitouna Agence Sousse Riad,"شارع التوفيق, سوسة, 4031",35.801313,10.605767,Sousse,47775
Banque Zitouna Agence Sousse Beb Bhar,"نهج فلسطين, سوسة",35.831124,10.640198,Sousse,32904
Banque Zitouna,"Boulevard du 14 Janvier 2011, Sousse, 4000",35.854119,10.615973,Sousse,46623
Banque Zitouna Agence Hammam Sousse,"طريق تونس, حمام سوسة, 4011",35.859102,10.598038,Sousse,39976
Banque Zitouna Agence Kala Kebira,"شارع 14 جانفي, القلعة الكبرى, 4060",35.869148,10.540885,Sousse,60618
Banque Zitouna Agence Mseken,"مساكن, 4013",35.74486,10.586313,Sousse,70868
Banque Zitouna Agence Msaken Ville,"نهج بنزرت, مساكن, 4070",35.729533,10.579847,Sousse,32949
Banque Zitouna Agence Sahline,"Avenue Farhat Hached, Sahline, 5012",35.752313,10.71286,Sousse,38774
Banque Zitouna Agence Monastir Taieb Mhiri,"Avenue Taieb Mhiri, Monastir, 5089",35.766809,10.82292,Sousse,37084
Banque Zitouna Agence Monastir,"Avenue Abdessalem Trimech, Monastir, 5079",35.773761,10.831915,Sousse,51933
Banque Zitouna Agence Jemmal,"Rue Hassen El Borgi, Jamel, 5020",35.625099,10.759753,Sousse,32926
Banque Zitouna Agence Ksar Hellal,"Avenue Habib Bourguiba, Ksar Hellal, 5070",35.647633,10.885197,Sousse,75126
Banque Zitouna Agence Moknine,"Avenue Habib Bourguiba, Moknine, 5050",35.628945,10.899732,Sousse,53070
Banque Zitouna Agence Téboulba,"Teboulba, 5080",35.638545,10.969579,Sousse,32863
Banque Zitouna Agence Enfidha,"النفيضة, 4030",36.133682,10.376365,Sousse,40602
Banque Zitouna Agence Kairouan Echbilia,"القيروان, 3142",35.691641,10.102339,Sousse,52960
Banque Zitouna Agence Kairouan,"شارع أحمد دهيسي, القيروان, 3131",35.67092,10.101432,Sousse,45157
Banque Zitouna,"114 Avenue Habib Bourguiba, Mahdia, 5129",35.504857,11.063386,Sousse,76995
Banque Zitouna Agence Mahdia,"نهج جان, المهدية, 5129",35.504823,11.063476,Sousse,41086
Banque Zitouna Agence Ksour Essef,"قصور الساف, 5180",35.416551,10.998385,Sousse,76560
Banque Zitouna Agence El Jem,"El Djem, 5160",35.292699,10.708686,Sousse,51820
Banque Zitouna Agence Nabeul Napolis,"Shari' Habeeb Thamir, Nabeul, 8000",36.450935,10.726805,Sousse,38171
Banque Zitouna,"95 Avenue Habib Thameur, Nabeul, 8000",36.451292,10.727902,Sousse,32880
Banque Zitouna Agence Nabeul Place des Martyrs,"Nahj Faransa, Nabeul, 8000",36.456553,10.737962,Sousse,69543
Banque Zitouna Agence Korba,"شارع الحبيب بورقيبة, قربة",36.570956,10.857713,Sousse,32854
Banque Zitouna Agence Siliana,"شارع 18 جانفي 1952, سليانة, 6130",36.087473,9.369886,Kairouan,32912
Banque Zitouna Agence Centre Urbain Nord,"Seedi Bouzeed, 9100",35.038288,9.488107,Kairouan,82000
Banque Zitouna Agence Bizerte 14 Janvier,"شارع 14 جانفي 2011, بنزرت, 7029",37.285407,9.862762,Bizerte,41260
Banque Zitouna Agence Gabs,"نهج علي بن خليفة, قابس, 6001",33.885646,10.099933,Gabès,75026
Banque Zitouna,"159 Avenue Farhat Hached, Gabes, 6099",33.885717,10.100239,Gabès,32902
Banque Zitouna Agence Gabes Menzel,"نهج أبو داود, قابس, 6040",33.880509,10.090602,Gabès,32894
Banque Zitouna Agence Metouia,"Rn15, المطوية, 6089",33.958422,10.004786,Gabès,90212
Banque Zitouna Agence Mareth,"RN1, مارث, 6080",33.615996,10.289203,Gabès,39926
Banque Zitouna Agence Mednine,"شارع الحبيب بورقيبة, مدنين, 4100",33.348043,10.487594,Gabès,32865
Banque Zitouna Agence Mednine Route Tataouine,"شارع 2 ماي, مدنين, 4100",33.337996,10.486327,Gabès,32935
Banque Zitouna Agence Djerba May,Djerba,33.803984,10.882603,Gabès,32882
Banque Zitouna Agence Ghomrassen,"RR121, غمراسن",33.059276,10.337061,Gabès,75915
Banque Zitouna Agence Gafsa Cit Ennour,"شارع فلسطين, قفصة, 2123",34.428743,8.782308,Gafsa,44226
Banque Zitouna Agence Gafsa,"Shari' 2 Maris 1934, Qafsah, 2100",34.41681,8.790543,Gafsa,83094
Banque Zitouna Agence Metlaoui,"RN3, المتلوي",34.315732,8.401368,Gafsa,32932
Banque Zitouna Agence Souk Lahad,"RN16, Souk El Ahad",33.77518,8.856253,Gafsa,38149
Banque Zitouna Agence Tozeur,توزر,33.904987,8.169978,Gafsa,32888
Banque Zitouna Agence Kbili 2,قبلي,33.705769,8.973118,Gafsa,32955
Banque Zitouna Agence Tozeur,"Avenue Farhat Hached, Tozeur, 2213",33.92138,8.124073,Gafsa,32860
Banque Zitouna Agence Kasserine,"RR182, القصرين, 1200",35.170199,8.839272,Gafsa,37078
Banque Zitouna Agence Sbeitla,"RN13, سبيطلة, 1250",35.233083,9.126278,Gafsa,71004
Banque Zitouna Agence Menzel Temime,"شارع الثورة, منزل تميم, 8080",36.776534,10.988871,Nabeul,32842
Banque Zitouna Agence El Kef,"Nahj Seedi Bou Makhlouf, al-Kaf, 7100",36.18145,8.714108,Siliana,46495
Banque Zitouna,"Boulevard Mongi Slim, El Kef, 7100",36.171023,8.705402,Siliana,32884
Banque Zitouna Agence Boussalem,"Rn6, بو سالم, 8170",36.609501,8.972647,Siliana,38183
Banque Zitouna Agence Jendouba,"نهج الحبيب ثمار, جندوبة, 8100",36.500939,8.779509,Siliana,89930
Banque Zitouna Agence Béja,"Shari' Barys, Bajah, 9000",36.723726,9.185702,Siliana,38172
Banque Zitouna Agence Tabarka,"نهج الجزائر, طبرقة, 8110",36.955397,8.758513,Jendouba,32961
Banque Zitouna Agence Tatouine Cit Ennozha,تطاوين,32.936833,10.451833,Medenine,88168
Banque Zitouna Agence Tataouine,"نهج الحبيب مستاوي, تطاوين",32.93075,10.450074,Medenine,88165
ATB - ATB,"Avenue Jean Jaurès, Tunis",36.801168,10.185241,Tunis,52126
ATB - ATB,"Rue du Caire, Tunis",36.800277,10.182883,Tunis,82363
ATB - ATB,"42 Bis Tunnel Bab Souika, Tunis, 1059",36.805242,10.16909,Tunis,32852
ATB - ATB - Pacha Market,"Rue 8005, Tunis, 1002",36.818276,10.183979,Tunis,51625
ATB - ATB - Agence Ezzitouna,"Rue de la Mosquée Ezzaitouna, Tunis, 1008",36.797683,10.171775,Tunis,32952
ATB - ATB,"42 Bis Boulevard Bab Bnet, Tunis, 1019",36.801179,10.165992,Tunis,32970
